text,embeddings,distances
"68 AD: Emperor Nero commits suicide, prompting the Year of the Four Emperors in Rome.","[-0.02317418  0.01406926  0.02653432 ... -0.00690998  0.00737606
  0.00479363]",0.5978601628183264
292: The capital of the Roman empire is officially moved from Rome to Mediolanum (modern day Milan).,"[ 0.00990701 -0.01080713  0.04100401 ... -0.01264749  0.00947702
  0.03261057]",0.5983319922834007
44 BC: Burebista is assassinated in the same year like Julius Caesar and his empire breaks into 4 and later 5 kingdoms in modern-day Romania.,"[-0.05322205  0.02578709  0.002984   ... -0.01076689  0.01252611
  0.01857205]",0.6036754627441011
"71 BC: Death of Spartacus. End of the Third Servile War, a major slave uprising against the Roman Republic.","[-0.00322319  0.00999391  0.02643419 ...  0.06353124 -0.00561524
  0.02302856]",0.6115479991206771
122: Construction of Hadrian's Wall begins.,"[-0.00245578  0.0097588   0.03901182 ... -0.0151089  -0.00501681
 -0.02430053]",0.6171897807503532
"106 – 117: Roman Empire at largest extent under Trajan after having conquered modern-day Romania, Iraq and Armenia.","[-0.03653056  0.01010608  0.03702613 ... -0.00292327  0.00264746
 -0.00085324]",0.6197350950571059
43 AD: The Roman Empire enters Great Britain for the first time.,"[-0.01483026  0.02611345  0.03229363 ...  0.00152736  0.0209778
  0.0125671 ]",0.6229660235641072
"149 BC – 146 BC: Third Punic War between Rome and Carthage. War ends with the complete destruction of Carthage, allowing Rome to conquer modern day Tunisia and Libya.","[-0.00540921 -0.03468822  0.05428457 ...  0.04385115 -0.01078954
  0.04165667]",0.6234537714915711
"238: Defeat of Gordian III (238–244), Philip the Arab (244–249), and Emperor Valerian (253–260), by Shapur I of Persia (Valerian was captured by the Persians).","[-0.02355577  0.00450411  0.02451723 ... -0.01607168  0.03786842
  0.02107564]",0.6380257493135452
285: Diocletian becomes emperor of Rome and splits the Roman Empire into Eastern and Western Roman Empires.,"[ 0.00149416 -0.00985193  0.03976675 ... -0.00385683  0.00588159
  0.01161535]",0.6427550618633907
27 BC: Formation of Roman Empire: Augustus is given titles of Princeps and Augustus by Roman Senate – beginning of Pax Romana. Formation of influential Praetorian Guard to provide security to Emperor.,"[-0.00166468 -0.00460043  0.0460093  ... -0.01376869 -0.00071137
  0.01786019]",0.6483973702709445
890 BC: Approximate date for the composition of the Iliad and the Odyssey.,"[ 0.02021405 -0.02669906  0.03009225 ... -0.00381176  0.03453466
 -0.0200801 ]",0.6500487537413522
c. 82 BC: Burebista becomes the king of Dacia.,"[ 0.00253867 -0.00472118 -0.00783551 ... -0.00245584  0.02707916
  0.01307574]",0.6504218762942718
31 BC – 30 BC: Battle of Actium. The Roman conquest of Ptolemaic Egypt.,"[-0.02829429  0.01014758  0.02804492 ...  0.0152981   0.02453451
  0.01907707]",0.6540203114994712
226: Fall of the Parthian Empire and Rise of the Sassanian Empire.,"[-0.0210132  -0.03031613  0.07923812 ...  0.02850043  0.00422559
 -0.0035702 ]",0.6559195483437367
"27 BC – 22 BC: Amanirenas, the kandake (Queen) of the Kingdom of Kush, leads Kushite armies against the Romans.","[ 0.00923024  0.017058    0.07292866 ...  0.01382905 -0.014427
  0.00374537]",0.6563792823932535
"612 BC: An alliance between the Babylonians, Medes, and Scythians succeeds in destroying Nineveh and causing subsequent fall of the Assyrian empire.","[-0.01802022 -0.00668475  0.10161667 ... -0.01500096 -0.02091235
  0.00282592]",0.6612904089896046
415: Germanic tribes enter Spain.,"[ 0.00592343 -0.01102323  0.00953391 ... -0.00442847  0.02389682
  0.00318173]",0.6655952568854053
465 BC: Murder of Xerxes I.,"[ 0.00994839  0.02265715  0.01792035 ...  0.00981037  0.00157341
 -0.01406687]",0.6664777213089512
"26 AD – 34 AD: Crucifixion of Jesus Christ, exact date unknown.","[-0.03854908  0.03199187  0.02053711 ...  0.01883672  0.01402063
  0.00262441]",0.6673005123404694
202 BC: Scipio Africanus defeats Hannibal at Battle of Zama.,"[ 0.02416983 -0.01065462  0.02719623 ...  0.00852473  0.01343229
  0.0242942 ]",0.6674282014155004
167 BC – 160 BC: Maccabean Revolt.,"[-0.01393653  0.01886809  0.04957626 ... -0.00868997  0.00382359
 -0.00411416]",0.6681214201959891
"c. 60 BC – 44 BC: Burebista conquers territories from south Germany to Thrace, reaching the coast of the Aegean sea.","[-0.01287567 -0.01302477  0.05887236 ... -0.01300347  0.01389805
 -0.01523993]",0.6688688190116316
1200 BC – 1150 BC: Bronze Age collapse occurs in Southwestern Asia and in the Eastern Mediterranean region. This period is also the setting of the Iliad and the Odyssey epic poems (which were composed about four centuries later).,"[ 0.01972137 -0.0367496   0.06230255 ... -0.01950931  0.01321119
  0.00198672]",0.6706173867040285
"14 AD: Death of Roman Emperor Augustus Caesar (Octavian), ascension of his adopted son Tiberius to the throne.",[0.0190843  0.03672281 0.01867121 ... 0.03203435 0.03616515 0.0400481 ],0.6726777178451115
404 BC: End of the Peloponnesian War.,"[ 0.04751141 -0.01746622  0.04487189 ...  0.04610917  0.01994077
  0.01069213]",0.6747325669534071
776 BC: First recorded Ancient Olympic Games.,"[ 0.03468256 -0.03613029  0.03105275 ... -0.00133299  0.0394244
 -0.01113073]",0.6775742117889536
41 AD: Emperor Caligula is assassinated by the Roman senate. His uncle Claudius succeeds him.,"[-0.0311762   0.01300468  0.00428837 ...  0.00443341 -0.01357391
 -0.01771176]",0.6796701288079114
285: Diocletian begins a large-scale persecution of Christians.,"[ 0.02541435  0.00731042  0.05610294 ...  0.00644694 -0.02008177
 -0.00022553]",0.6805773496525639
313: Edict of Milan declared that the Roman Empire would tolerate all forms of religious worship.,"[ 0.02355806 -0.00063596  0.04247456 ...  0.01035044  0.00456492
  0.04426988]",0.6810497127998569
"37 AD: Death of Emperor Tiberius, ascension of his nephew Caligula to the throne.","[-0.03347016  0.02977749  0.01234467 ...  0.0111102   0.02541929
 -0.00339478]",0.6818926875684763
399 BC: Death of Socrates.,[0.00942488 0.02354313 0.01206558 ... 0.01991692 0.02491521 0.00153542],0.6828464833946446
161: Death of Antoninus Pius. His rule was the only one in which Rome did not fight in a war.,"[-0.05414512  0.03375541  0.05992489 ...  0.02454392  0.01811193
  0.02414254]",0.6838882435264846
728 BC: Rise of the Median Empire.,"[-0.0103937   0.00280046  0.06158355 ...  0.00048997  0.00857097
 -0.02286378]",0.6863237246853957
180: Reign of Marcus Aurelius officially ends.,"[-0.03353813  0.05121922  0.05914775 ...  0.02265466  0.00787988
  0.03331925]",0.6866257857386566
c. 1180 BC: Disintegration of Hittite Empire.,"[ 0.00459369  0.01584926  0.07241812 ...  0.00296199 -0.01362517
  0.0047236 ]",0.6903399729256718
539 BC: The fall of the Neo-Babylonian Empire and liberation of the Jews by Cyrus the Great.,"[-0.01667809  0.01565719  0.04811377 ... -0.01125013 -0.01718349
 -0.00194199]",0.6940543073354173
447 BC: Building of the Parthenon at Athens started.,"[ 0.0208479  -0.01028746  0.05916677 ...  0.01242583  0.02685354
 -0.02616603]",0.6946900587736831
301: Diocletian's edict on maximum prices.,"[-0.02436059  0.00805973  0.0497578  ...  0.03107271  0.01128621
  0.00487212]",0.6961465138029248
6 BC: Earliest theorized date for birth of Jesus of Nazareth. Roman succession: Gaius Caesar and Lucius Caesar groomed for the throne.,"[8.96158454e-05 3.45192887e-02 5.84008247e-02 ... 1.29447328e-02
 2.78546736e-02 1.50995189e-03]",0.7008894196481104
380: Roman Emperor Theodosius I declares the Arian faith of Christianity heretical.,"[-0.01463875 -0.04332903  0.01305533 ...  0.0280611   0.00697857
  0.02327939]",0.7017428375049592
180 – 181: Commodus becomes Roman Emperor.,"[-0.03960263  0.02419905  0.026018   ...  0.007437   -0.0008181
  0.02021576]",0.7017885807458168
c. 145 BC: Eucratides I dies; Greco-Bactrian Kingdom collapses. Remnants move southwards to form the Indo-Greek Kingdom.,[0.01304987 0.02849665 0.06703167 ... 0.01217919 0.01631746 0.01390006],0.7040340579210156
330: Constantinople is officially named and becomes the capital of the eastern Roman Empire.,"[ 0.02372518 -0.01747499  0.02394104 ... -0.01159767  0.00679474
  0.00030785]",0.7043100279724731
54 AD: Emperor Claudius dies and is succeeded by his grand nephew Nero.,"[-0.02314825  0.02443426 -0.00147707 ... -0.01137384  0.00277231
  0.00210558]",0.7043726977088479
483 BC: Death of Gautama Buddha.,"[-0.01575564  0.01040524  0.05026314 ...  0.00919249  0.01773274
  0.01501168]",0.7108170027667656
117: Trajan dies of natural causes. His adopted son Hadrian succeeds him. Hadrian pulls out of Iraq and Armenia.,"[-0.00113576 -0.00391272  0.02890825 ... -0.01853242 -0.0062162
 -0.01168879]",0.7108228548857451
"98 AD: After a two-year rule, Emperor Nerva dies of natural causes, his adopted son Trajan succeeds him.","[-0.01141411  0.04008515  0.02138009 ... -0.00215586  0.01993196
 -0.0107001 ]",0.7132800830159451
c. 400 BC: Rise of the Garamantes as an irrigation-based desert state in the Fezzan region of Libya.,"[ 0.01103706 -0.01731845  0.03940409 ...  0.01522274  0.01304641
 -0.00147823]",0.7146254061206206
480 BC: Persian invasion of Greece by Xerxes I; Battles of Thermopylae and Salamis.,"[-0.00465237 -0.01754268  0.04468641 ...  0.00677112  0.01225814
 -0.03970809]",0.7146934481695466
230 BC: Emergence of Satavahana in South India.,"[ 0.01023853 -0.04341054  0.05772543 ... -0.00275286  0.01643248
 -0.00420341]",0.7163462015336204
232 BC: Death of Emperor Ashoka; Decline of the Mauryan Empire.,"[-0.01394651  0.01646802  0.04910108 ... -0.01470882  0.02931991
  0.03475387]",0.7180179560720215
814 BC: Foundation of Carthage by the Phoenicians in today known Tunisia.,"[-0.00066655 -0.00173265  0.03073437 ... -0.0120991  -0.01001428
 -0.00198109]",0.7203836575155596
470 BC / 469 BC: Birth of Socrates.,"[ 0.00466867 -0.02732296  0.0200636  ...  0.00494537  0.02376381
 -0.00735702]",0.720460633233414
138: Hadrian dies of natural causes. His adopted son Antoninus Pius succeeds him.,"[-0.01033437  0.01681303  0.0345384  ... -0.00501513 -0.00684251
  0.03508146]",0.7205075737209349
323 BC: Death of Alexander the Great at Babylon.,"[-0.02441592  0.03551955  0.05830908 ...  0.01338258  0.01923557
  0.01076228]",0.7207571767686065
432 BC: Construction of the Parthenon is completed.,"[ 0.0336059  -0.00522261  0.01860474 ...  0.00727922  0.03189678
 -0.00200513]",0.721709763897731
"499 BC: King Aristagoras of Miletus incites all of Hellenic Asia Minor to rebel against the Persian Empire, beginning the Greco-Persian Wars.","[-0.03765755 -0.02529991  0.08329818 ...  0.02606596 -0.0074791
 -0.02915033]",0.7218250786160172
161: Marcus Aurelius becomes emperor of the Roman Empire.,"[-0.03024652  0.01884176  0.02798219 ...  0.0097221  -0.02088797
  0.01056343]",0.7234420222335405
261 BC: Kalinga War.,"[ 0.0148577   0.03768126  0.07151385 ...  0.04909305  0.01649115
 -0.00972239]",0.7235222322743968
"337: Emperor Constantine I dies, leaving his sons Constantius II, Constans I, and Emperor Constantine II as the emperors of the Roman empire.","[ 0.04176617  0.02624605  0.01474817 ... -0.03175122  0.00948169
  0.00648026]",0.7237796540203617
185 BC: Shunga Empire founded.,"[-0.03404956 -0.00569479  0.03108024 ... -0.01496577  0.00091707
 -0.00590069]",0.7251349283543828
449 BC: The Greco-Persian Wars end.,"[ 0.00519179 -0.02251393  0.05081162 ...  0.01447879  0.02010727
 -0.00632719]",0.7273576730001159
3000 BC: First known use of papyrus by Egyptians.,"[ 0.01404452  0.00578755  0.03383401 ... -0.01733709 -0.01590653
 -0.00860042]",0.7274146883974881
529 BC: Death of Cyrus the Great.,"[ 0.00786085  0.02171655  0.01711586 ... -0.01159288  0.00835953
 -0.01605416]",0.7284892748683152
111 BC: First Chinese domination of Việtnam in the form of the Nanyue Kingdom.,"[-0.01255392 -0.01374857  0.02196936 ... -0.02861079  0.03097984
 -0.01916498]",0.7307200802145284
1500 BC: Composition of the Rigveda is completed.,[0.04563642 0.02505615 0.03909812 ... 0.0078273  0.04598746 0.00336788],0.7309969340898081
395: Theodosius I outlaws all religions other than Catholic Christianity.,"[ 0.00410225 -0.02301635  0.0146587  ...  0.00090113 -0.00125666
  0.00679879]",0.73204606666467
354: Birth of Augustine of Hippo.,"[ 0.00833128 -0.00029002  0.01899959 ...  0.01133683  0.01926925
  0.02568484]",0.7338560473147206
525 BC: Cambyses II of Persia conquers Ancient Egypt.,"[ 0.00170016 -0.0413341   0.05864671 ... -0.01420286 -0.00369601
  0.00911512]",0.7346943667600553
1600 BC: Minoan eruption destroys Akrotiri and causes damage to some Minoan sites in eastern Crete.,"[ 0.03537593 -0.01105127  0.04274344 ... -0.00818229  0.04649634
  0.02372222]",0.7379858696366213
322 BC: Death of Aristotle.,"[-0.02626771  0.00111936  0.00571252 ...  0.01663914  0.02473415
  0.00960667]",0.7381458094113549
2200 BC: Completion of Stonehenge.,"[ 0.03372808  0.0047615   0.02211556 ... -0.01807214  0.03148448
  0.00341164]",0.7394173712246068
321 BC: Chandragupta Maurya overthrows the Nanda dynasty of Magadha.,"[-0.01922165 -0.01613876  0.00979654 ... -0.03352182  0.02702175
  0.00137198]",0.7406730129103624
788 BC: Iron Age begins in Sungai Batu (Old Kedah).,"[-1.85024124e-02  3.32928859e-02  1.17544737e-02 ...  5.57614330e-05
  9.68082901e-03 -2.03240123e-02]",0.7414368434628311
800 BC: Rise of Greek city-states.,"[ 0.01277337 -0.02609072  0.0753105  ...  0.0178807   0.0188377
 -0.02222244]",0.7429608904576215
429 BC: Sophocles's play Oedipus Rex is first performed.,"[ 0.01103943 -0.01495282  0.04778003 ...  0.02451529  0.01815469
 -0.03398074]",0.7447131471668731
431 BC: Beginning of the Peloponnesian War between the Greek city-states.,"[ 0.02013584 -0.06412687  0.07754419 ...  0.03541777 -0.00037921
 -0.01975108]",0.7447640308418777
745 BC: Tiglath-Pileser III becomes the new king of Assyria. With time he conquers neighboring countries and turns Assyria into an empire.,"[-0.00740262 -0.06291974  0.06424648 ...  0.00798558 -0.01182007
  0.00318619]",0.7456251810061556
"458 BC: The Oresteia by Aeschylus, the only surviving trilogy of ancient Greek plays, is performed.","[ 0.0155064  -0.00555972  0.0564659  ... -0.00103973  0.01520236
 -0.0421974 ]",0.7456419812099064
508 BC: Athenian democracy instituted at the Republic of Athens.,"[ 0.03654987 -0.0472197   0.06393647 ...  0.00626363  0.01074207
 -0.03853111]",0.7470926634013466
4 BC: Widely accepted date (Ussher) for birth of Jesus Christ.,"[ 0.00133204 -0.00819798  0.02937257 ...  0.00374325  0.0451951
  0.03933333]",0.7473150049030826
c. 3000 BC: Cucuteni–Trypillia culture is established in Romania and Ukraine.,"[-0.01803464  0.0097727   0.00782131 ... -0.01419481  0.02012242
 -0.00076915]",0.7485248449768225
490 BC: Greek city-states defeat Persian invasion at Battle of Marathon.,"[-0.00942275 -0.0023545   0.05074958 ...  0.01125019  0.02944846
 -0.01105031]",0.7487150052912623
18 BC: Three Kingdoms period begins in Korea. Herod's Temple is reconstructed.,"[-0.00384899 -0.00230594  0.05753053 ...  0.01923058  0.02519551
 -0.05103589]",0.7497688143570822
370 BC: Death of Democritus.,[0.02816118 0.00898634 0.01225952 ... 0.01214644 0.03301737 0.00020773],0.7507774338888364
424 BC: Nanda dynasty comes to power in Magadha.,"[ 0.01611386 -0.01717899  0.00238434 ... -0.02138091  0.04487255
 -0.00579962]",0.753047163785061
3200 BC: Skara Brae is built in Scotland.,"[-0.02230136  0.00515183  0.04029256 ... -0.04237259  0.04841969
 -0.02017844]",0.7542864857631161
"2200 BC – 2100 BC: 4.2-kiloyear event: a severe aridification phase, likely connected to a Bond event, which was registered throughout most of North Africa, Middle East and continental North America. Related droughts very likely caused the collapse of the Old Kingdom in Egypt and the Akkadian Empire in Mesopotamia.","[-0.00489999 -0.00413589  0.04184401 ... -0.01267449  0.00662833
  0.00555798]",0.7549636914309487
"305 BC: Chandragupta Maurya seizes the satrapies of Paropamisadae (Kabul), Aria (Herat), Arachosia (Qanadahar) and Gedrosia (Baluchistan) from Seleucus I Nicator, the Macedonian satrap of Babylonia, in return for 500 elephants.","[ 0.01090488 -0.02727258  0.06007029 ... -0.02571474 -0.00395172
 -0.01840328]",0.7556616287425134
c. 785 BC: Rise of the Kingdom of Kush.,"[ 0.01202638  0.01195449  0.05361033 ...  0.00706588 -0.03385051
  0.00905316]",0.7578669880291309
"Late 24th century BC: Akkadian Empire is founded, dating depends upon whether the Middle chronology or the Short chronology is used.","[ 0.01538675 -0.0058965   0.08249827 ... -0.01557645  0.00361747
 -0.017758  ]",0.7578702063549422
257 BC: An Dương Vương takes over Việt Nam (then Kingdom of Âu Lạc).,"[ 0.00606294  0.00950431 -0.00245941 ... -0.00859442  0.06331402
 -0.01108986]",0.7602977726295279
325: Constantine I organizes the First Council of Nicaea.,"[ 0.04914873  0.00240401  0.04539825 ... -0.01991897 -0.00712482
 -0.00855851]",0.7603524072586447
479 BC: Death of Confucius.,"[-0.01304639  0.0150782   0.00177784 ... -0.00484695  0.00521588
 -0.0108007 ]",0.7610832106693572
200 BC: Paper is invented in the Han dynasty.,"[ 0.00360015 -0.00718277  0.06012507 ... -0.01316258  0.01632767
  0.00691999]",0.7610972459824603
"361: Constantius II dies, his cousin Emperor Julian succeeds him.","[-0.03695827 -0.04771055  0.02714191 ...  0.00340634 -0.00329751
  0.0345205 ]",0.7642328475308089
c. 455: Skandagupta repels a Huna people attack on India.,"[-0.02093392  0.00462609  0.03093486 ... -0.02155178  0.03899845
 -0.01063975]",0.7643956083379346
Late 4th millennium BC: Sumerian cuneiform writing system and Egyptian hieroglyphs are first used,"[ 0.03741552  0.03157087  0.0805534  ... -0.01287534 -0.00623592
  0.0056918 ]",0.7666654940199786
1100 BC: Use of Iron spreads.,"[ 0.02245378 -0.00371651  0.04463849 ...  0.0093905  -0.00012255
 -0.00950485]",0.7695661414054882
2115 BC: Traditional date for the legendary foundation of Armenia by Hayk.,"[-0.00579451 -0.04761382  0.01365528 ... -0.01966316 -0.0076811
 -0.01766428]",0.7699879083449203
"546 BC: Cyrus the Great overthrows Croesus, King of Lydia.","[ 0.00287078 -0.04981711  0.00739573 ... -0.02382001 -0.02100259
 -0.02977501]",0.7708953415793824
544 BC: Rise of Magadha as the dominant power under Bimbisara.,"[ 0.0280981  -0.00699835  0.01635217 ... -0.01617421  0.03054779
 -0.00132364]",0.7709214281848112
c. 300 BC: Completion of Euclid's Elements.,"[ 0.03909188 -0.0192921   0.04739948 ... -0.00719992  0.05584554
  0.01670751]",0.7710765545248732
550 BC: Foundation of the Achaemenid Empire by Cyrus the Great.,"[-0.00835454 -0.00756637  0.0484492  ... -0.02786541 -0.02379747
 -0.03368257]",0.7712972302754991
"621 BC: Draco replaces oral law with written law in Classical Athens, considered one of the earliest developments of the Athenian Democracy.","[ 0.06414998 -0.02403384  0.08090423 ...  0.01106497 -0.01318166
 -0.00965386]",0.7723385127055677
427 BC: Birth of Plato.,"[ 0.01951407 -0.0147018  -0.00817238 ... -0.01635535  0.04536676
 -0.00070687]",0.7728207825856164
"c. 512 BC: Darius I (Darius the Great) of Persia, subjugates eastern Thrace, Macedonia submits voluntarily, and annexes the Libyan Kingdom, Persian Empire at largest extent.","[-0.00408526 -0.01747962  0.05739389 ...  0.00396402  0.0220762
  0.00755377]",0.7736812765724242
653 BC: Rise of Achaemenid dynasty.,"[ 0.00618443 -0.02090556  0.03684695 ... -0.00144875  0.00499012
 -0.05221716]",0.7754781896091443
1780 BC: Oldest Record of Hammurabi's Code.,"[ 0.02257136  0.04319459  0.02926663 ... -0.03974619  0.00737264
 -0.02011941]",0.7755825787435229
3200 BC: Cycladic culture in Greece.,"[ 0.04260824 -0.01729641  0.02462352 ...  0.00794325  0.02755436
 -0.00304741]",0.7755906091646063
"2600 BC: Oldest known surviving literature: Sumerian texts from Abu Salabikh, including the Instructions of Shuruppak and the Kesh temple hymn.","[ 0.03734002  0.00923366  0.05278951 ... -0.02264499  0.03607883
 -0.022127  ]",0.7762822782345021
c. 600 BC: Rise of the Sao civilization near Lake Chad.,"[ 0.06324778 -0.0299271   0.06333262 ... -0.01010119  0.01166542
 -0.01522867]",0.7787895558364214
600 BC: Evidence of writing system appears in Oaxaca used by the Zapotec civilization.,"[ 0.0896052   0.05818807  0.03203662 ... -0.00834103  0.03734656
 -0.02949228]",0.7793412643120362
350: Constantius II is left sole emperor with the death of his two brothers.,"[ 0.00677427  0.01197834  0.06518549 ... -0.01146242  0.01964986
  0.0143112 ]",0.7796832091943295
1200 BC: The Hallstatt culture begins.,"[ 0.00972952 -0.01410475  0.03531167 ... -0.02745726  0.05456051
 -0.03135128]",0.7802654859865727
1050 BC: The Phoenician alphabet is created.,"[ 0.03221047 -0.00848156  0.02397484 ... -0.01162711  0.03417787
 -0.01104375]",0.7834280711227053
301: Armenia first to adopt Christianity as state religion.,"[-0.00671253 -0.02245411  0.04074926 ... -0.01560151 -0.00542497
  0.0014155 ]",0.7852034051858191
1046 BC: The Zhou force (led by King Wu of Zhou) overthrow the last king of Shang dynasty; Zhou dynasty established in China.,"[ 0.00213485 -0.0118238   0.00511071 ...  0.00141328 -0.00058068
 -0.02967892]",0.7868535354548788
475 BC: Warring States period begins in China as the Zhou king became a mere figurehead; China is annexed by regional warlords.,"[ 0.00374742  0.00905844  0.0571234  ...  0.00520417 -0.01470823
 -0.03452422]",0.7868744701725172
2291 BC: Pharaoh Teti is thought to be the earliest known victim of assassination.,"[ 0.026456    0.00183861  0.04037435 ...  0.00404746  0.02027625
 -0.00306204]",0.7874881696403174
460 BC: Birth of Democritus.,"[ 0.03917817 -0.02145969  0.02077419 ... -0.00411011  0.0283728
  0.00023128]",0.788526468537581
"c. 1 AD – 50 AD: The Periplus of the Erythrean Sea, a Graeco-Roman manuscript is written. It describes an established Indian Ocean Trade route.","[ 0.02095932  0.00018899  0.05183614 ...  0.01037906  0.01388215
 -0.0255867 ]",0.7889833876340572
1800 BC: The Old Babylonian Epic of Gilgamesh constitutes the earliest complete version of that narrative.,"[ 0.0053058   0.03280631  0.02230743 ... -0.0267088   0.04482957
 -0.00880274]",0.7892919926352621
"c. 3000 BC: Stonehenge construction begins. In its first version, it consisted of a circular ditch and bank, with 56 wooden posts.","[ 0.03221122 -0.02317522  0.08806585 ... -0.01019476  0.02277726
 -0.01402218]",0.7907338414721375
600 BC: Pandyan kingdom is founded in South India.,"[-3.92182777e-03 -3.13746221e-02  5.21517657e-02 ...  1.25061674e-02
  1.23447366e-02  2.01974435e-05]",0.7913496782991387
384 BC: Birth of Aristotle.,"[-0.01087192 -0.02418392 -0.00616527 ...  0.00767812  0.02850015
  0.00583993]",0.7929523704545485
650 BC – 550 BC: The Urewe culture dominates the African Great Lakes region. It was one of Africa's oldest iron smelting centres.,"[ 0.04623788 -0.01151767  0.04081639 ... -0.02541173 -0.01167291
  0.00200171]",0.7930144630074013
"200 BC: El Mirador, largest early Maya city, flourishes.","[ 0.01310949  0.03199955  0.03686256 ... -0.04011986  0.01979613
  0.01417614]",0.7933573997499158
771 BC: Spring and Autumn period begins in China; Zhou dynasty's power is diminishing; the era of the Hundred Schools of Thought.,"[ 0.00841372 -0.00113598  0.05476658 ... -0.01433079  0.00947729
 -0.04170409]",0.7940003407721054
30 BC: Cleopatra ends her reign as the last active ruler of the Ptolemaic Kingdom of Egypt.,"[-0.01120659  0.0224928   0.04637896 ...  0.00074271  0.00053215
  0.00837011]",0.7954148503878105
273 BC: Ashoka becomes the emperor of the Maurya Empire.,"[-0.00116954 -0.02351951  0.04787832 ... -0.02828826  0.03713908
  0.00056152]",0.79662729445086
321 BC: Establishment of the Seleucid Empire by Seleucus I Nicator. The empire existed until 63 BC.,"[-0.03070832 -0.06141664  0.04344758 ... -0.00264364 -0.00451142
 -0.03105314]",0.7973368579955322
400 BC: Zapotec culture flourishes around city of Monte Albán.,"[ 0.01649731  0.0036602   0.03948683 ... -0.02572425  0.02703603
  0.00161332]",0.797579946524057
220: Three Kingdoms period begins in China after the fall of Han dynasty.,"[ 0.00281663 -0.02200717  0.08869997 ...  0.0112721   0.02524056
 -0.00496756]",0.7990143591276913
